IP:PORT, LOSS, DELAY
162.159.195.191:928,100.00%,1000 ms
162.159.192.213:928,100.00%,1000 ms
162.159.193.152:4233,100.00%,1000 ms
188.114.96.26:4233,100.00%,1000 ms
188.114.97.72:928,100.00%,1000 ms
188.114.96.200:928,100.00%,1000 ms
188.114.97.236:928,100.00%,1000 ms
162.159.195.176:4233,100.00%,1000 ms
188.114.97.136:4233,100.00%,1000 ms
188.114.97.44:928,100.00%,1000 ms
188.114.97.230:928,100.00%,1000 ms
188.114.96.167:4233,100.00%,1000 ms
162.159.195.173:4233,100.00%,1000 ms
162.159.195.16:4233,100.00%,1000 ms
162.159.195.189:4233,100.00%,1000 ms
188.114.97.44:4233,100.00%,1000 ms
188.114.97.125:928,100.00%,1000 ms
188.114.98.72:928,100.00%,1000 ms
188.114.96.237:4233,100.00%,1000 ms
188.114.97.190:4233,100.00%,1000 ms
188.114.96.183:928,100.00%,1000 ms
188.114.96.233:4233,100.00%,1000 ms
188.114.98.47:4233,100.00%,1000 ms
188.114.96.86:4233,100.00%,1000 ms
188.114.98.57:928,100.00%,1000 ms
188.114.97.245:928,100.00%,1000 ms
188.114.97.125:4233,100.00%,1000 ms
162.159.195.176:928,100.00%,1000 ms
162.159.193.210:4233,100.00%,1000 ms
188.114.96.26:928,100.00%,1000 ms
188.114.99.114:928,100.00%,1000 ms
188.114.97.236:4233,100.00%,1000 ms
162.159.195.173:928,100.00%,1000 ms
188.114.98.57:4233,100.00%,1000 ms
188.114.97.154:928,100.00%,1000 ms
188.114.97.145:4233,100.00%,1000 ms
188.114.96.233:928,100.00%,1000 ms
188.114.96.200:4233,100.00%,1000 ms
188.114.97.59:928,100.00%,1000 ms
188.114.99.102:4233,100.00%,1000 ms
188.114.96.183:4233,100.00%,1000 ms
188.114.96.227:4233,100.00%,1000 ms
188.114.96.167:928,100.00%,1000 ms
188.114.97.145:928,100.00%,1000 ms
188.114.96.227:928,100.00%,1000 ms
188.114.97.190:928,100.00%,1000 ms
188.114.97.245:4233,100.00%,1000 ms
188.114.98.47:928,100.00%,1000 ms
188.114.97.230:4233,100.00%,1000 ms
188.114.97.154:4233,100.00%,1000 ms
162.159.195.189:928,100.00%,1000 ms
188.114.97.72:4233,100.00%,1000 ms
188.114.96.237:928,100.00%,1000 ms
188.114.97.33:928,100.00%,1000 ms
188.114.97.33:4233,100.00%,1000 ms
188.114.97.103:4233,100.00%,1000 ms
188.114.97.136:928,100.00%,1000 ms
188.114.99.102:928,100.00%,1000 ms
188.114.96.86:928,100.00%,1000 ms
188.114.98.108:928,100.00%,1000 ms
188.114.97.80:928,100.00%,1000 ms
188.114.98.13:4233,100.00%,1000 ms
162.159.195.191:4233,100.00%,1000 ms
188.114.99.240:4233,100.00%,1000 ms
162.159.195.198:4233,100.00%,1000 ms
188.114.98.161:928,100.00%,1000 ms
188.114.98.126:4233,100.00%,1000 ms
162.159.195.97:4233,100.00%,1000 ms
188.114.98.126:928,100.00%,1000 ms
188.114.98.108:4233,100.00%,1000 ms
162.159.195.253:4233,100.00%,1000 ms
188.114.99.166:4233,100.00%,1000 ms
162.159.195.250:928,100.00%,1000 ms
162.159.195.223:928,100.00%,1000 ms
188.114.96.100:4233,100.00%,1000 ms
188.114.96.100:928,100.00%,1000 ms
188.114.99.3:928,100.00%,1000 ms
162.159.195.250:4233,100.00%,1000 ms
188.114.99.247:928,100.00%,1000 ms
162.159.195.97:928,100.00%,1000 ms
162.159.195.195:4233,100.00%,1000 ms
188.114.99.114:4233,100.00%,1000 ms
162.159.195.195:928,100.00%,1000 ms
188.114.99.208:928,100.00%,1000 ms
188.114.96.113:928,100.00%,1000 ms
162.159.195.223:4233,100.00%,1000 ms
188.114.98.173:4233,100.00%,1000 ms
188.114.98.161:4233,100.00%,1000 ms
188.114.98.173:928,100.00%,1000 ms
162.159.195.91:4233,100.00%,1000 ms
162.159.195.91:928,100.00%,1000 ms
188.114.99.243:928,100.00%,1000 ms
162.159.195.253:928,100.00%,1000 ms
162.159.195.198:928,100.00%,1000 ms
188.114.99.25:4233,100.00%,1000 ms
188.114.99.243:4233,100.00%,1000 ms
188.114.99.208:4233,100.00%,1000 ms
188.114.98.13:928,100.00%,1000 ms
188.114.99.247:4233,100.00%,1000 ms
188.114.96.121:928,100.00%,1000 ms
188.114.98.144:928,100.00%,1000 ms
188.114.98.185:4233,100.00%,1000 ms
188.114.98.239:928,100.00%,1000 ms
188.114.99.166:928,100.00%,1000 ms
188.114.99.185:4233,100.00%,1000 ms
188.114.99.67:4233,100.00%,1000 ms
188.114.99.185:928,100.00%,1000 ms
188.114.99.67:928,100.00%,1000 ms
188.114.98.246:928,100.00%,1000 ms
188.114.96.125:4233,100.00%,1000 ms
188.114.99.90:4233,100.00%,1000 ms
188.114.99.240:928,100.00%,1000 ms
188.114.99.230:4233,100.00%,1000 ms
188.114.98.35:928,100.00%,1000 ms
188.114.98.144:4233,100.00%,1000 ms
188.114.98.35:4233,100.00%,1000 ms
188.114.96.125:928,100.00%,1000 ms
188.114.98.239:4233,100.00%,1000 ms
188.114.98.160:4233,100.00%,1000 ms
188.114.99.230:928,100.00%,1000 ms
188.114.99.22:4233,100.00%,1000 ms
188.114.98.156:4233,100.00%,1000 ms
188.114.98.160:928,100.00%,1000 ms
188.114.99.22:928,100.00%,1000 ms
188.114.99.3:4233,100.00%,1000 ms
188.114.96.124:928,100.00%,1000 ms
188.114.98.246:4233,100.00%,1000 ms
188.114.96.121:4233,100.00%,1000 ms
188.114.99.90:928,100.00%,1000 ms
